le,60
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,8
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,1
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,0.2
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,3
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/query
instance,localhost:9090
job,prometheus
le,60
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,0.2
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,20
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,3
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,120
__name__,prometheus_http_request_duration_seconds_bucket
handler,/graph
instance,localhost:9090
job,prometheus
le,+Inf
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,120
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/label/:name/values
instance,localhost:9090
job,prometheus
le,60
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,120
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/query
instance,localhost:9090
job,prometheus
le,+Inf
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,120
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,0.2
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/query
instance,localhost:9090
job,prometheus
le,20
__name__,prometheus_http_request_duration_seconds_bucket
handler,/graph
instance,localhost:9090
job,prometheus
le,120
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,0.1
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/query_range
instance,localhost:9090
job,prometheus
le,0.2
__name__,prometheus_http_request_duration_seconds_bucket
handler,/graph
instance,localhost:9090
job,prometheus
le,0.2
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/label/:name/values
instance,localhost:9090
job,prometheus
le,3
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/label/:name/values
instance,localhost:9090
job,prometheus
le,8
